Segments,Subsegments,ClassificationCount,PredCount,ActTrnsCount,P&PCount,ActAmt,P&PAmount
Champion,HP,596,596,69,69,3909941,3909941
Champion,MP,613,613,35,35,3325495,3325495
Champion,LP,596,570,19,19,343405,343405
Loyal,HP,1641,1641,70,70,1222453,1222453
Loyal,MP,1689,1689,35,35,764221,764221
Loyal,LP,1641,947,27,21,1362548,1307338
PotentialLoyal,HP,6366,6299,136,136,3886574,3886574
PotentialLoyal,MP,6559,4246,92,61,2042405,1802990
PotentialLoyal,LP,6366,412,53,5,510148,53849
New,-,32999,-,238,-,6368681,-
OTC,-,93707,-,287,-,3855848,-
CannotLose,-,269,-,5,-,79250,-
NeedAttention,-,2429,-,8,-,60361,-
Hibernating,-,817,-,4,-,30806,-
MayOnly,-,0,-,2061,-,31559071,-
Total,,156288,17013,3139,451,59321207,16616266
